country,country_id
BOONVILLE STAGE LINE,1
S.A.,2
ACOM,3
ACTIVE AERO,4
AEROCENTER,5
AEROCESAR,6
AEROPERLAS,7
AEROPUMA,8
AEROSOL,9
AEROSUN,10
AEROVARADERO,11
AEROWEE,12
AFGHANISTAN,13
AIR CLASS,14
AIR FREIGHTER,15
AIR PRINT,16
AIR S,17
AIR-MAUR,18
AIREX,19
AIRFLIGHT,20
AIRMAN,21
AIRNAT,22
AIRPAC,23
AIRPORT HELICOPTER,24
AIRWAVE,25
ALAMO,26
ALASKA,27
ALASKA PACIFIC,28
ALBANIA,29
ALCON,30
ALDAWLYH AIR,31
ALGERIA,32
ALL STAR,33
ALNACIONAL,34
AMERICAN SAMOA,35
ANGOLA,36
ANTARES,37
ANTIGUA AND BARBUDA,38
APPALACHIAN,39
AQUILINE,40
ARGENTINA,41
ARIZAIR,42
ARMENIA,43
ARMSTRONG,44
ARUBA,45
ASA PESADA,46
ASTORIA,47
ASUR,48
ATCO,49
ATLANTIC NICARAGUA,50
ATLANTIS CANADA,51
AUDI AIR,52
AURORA AIR,53
AUSA,54
AUSTRALIA,55
AUSTRIA,56
AVEMEX,57
AVIANCA,58
AVINOR,59
AVIOQUINTANA,60
AZERBAIJAN,61
AZIMUT,62
BAHAMAS,63
BAHRAIN,64
BANGLADESH,65
BARBADOS,66
BELARUS,67
BELGIUM,68
BELIZE,69
BENIN,70
BERMUDA,71
BHUTAN,72
BOLIVIA,73
BOSNIA AND HERZEGOVINA,74
BOTSWANA,75
BRAZIL,76
BRITISH VIRGIN ISLANDS,77
BRUNEI,78
BULGARIA,79
BURKINA FASO,80
BURMA,81
BURUNDI,82
CAMBODIA,83
CAMEROON,84
CANADA,85
CANADIAN TERRITORIES,86
CAPE VERDE,87
CAYMAN ISLANDS,88
CENTRAL AFRICAN REPUBLIC,89
CHAD,90
CHILE,91
CHINA,92
COLOMBIA,93
COMOROS,94
COMPANY AS,95
CONGO (BRAZZAVILLE),96
CONGO (KINSHASA),97
COOK ISLANDS,98
COSTA RICA,99
COTE D'IVOIRE,100
CROATIA,101
CUBA,102
CYPRUS,103
CZECH REPUBLIC,104
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,105
DEMOCRATIC REPUBLIC OF CONGO,106
DEMOCRATIC REPUBLIC OF THE CONGO,107
DENMARK,108
DJIBOUTI,109
DOMINICAN REPUBLIC,110
DRAGON,111
ECUADOR,112
EGYPT,113
EL SALVADOR,114
EQUATORIAL GUINEA,115
ERITREA,116
ESTONIA,117
ETHIOPIA,118
FAROE ISLANDS,119
FIJI,120
FINLAND,121
FRANCE,122
FRENCH GUIANA,123
FRENCH POLYNESIA,124
GABON,125
GAMBIA,126
GEORGIA,127
GERMANY,128
GHANA,129
GREECE,130
GUADELOUPE,131
GUATEMALA,132
GUINEA,133
GUINEA-BISSAU,134
GUYANA,135
HAITI,136
HONDURAS,137
HONG KONG,138
HONG KONG SAR OF CHINA,139
HUNGARY,140
ICELAND,141
INDIA,142
INDONESIA,143
IRAN,144
IRAQ,145
IRELAND,146
ISRAEL,147
ITALY,148
IVORY COAST,149
JAMAICA,150
JAPAN,151
JORDAN,152
KAZAKHSTAN,153
KENYA,154
KIRIBATI,155
KUWAIT,156
KYRGYZSTAN,157
LAO PEOPLES DEMOCRATIC REPUBLIC,158
LAP,159
LATVIA,160
LEBANON,161
LIBERIA,162
LIBYA,163
LITHUANIA,164
LUXEMBOURG,165
MACAO,166
MACEDONIA,167
MADAGASCAR,168
MALAWI,169
MALAYSIA,170
MALDIVES,171
MALI,172
MALTA,173
MARSHALL ISLANDS,174
MAURITANIA,175
MAURITIUS,176
MEXICO,177
MOLDOVA,178
MONACO,179
MONGOLIA,180
MONTENEGRO,181
MONTSERRAT,182
MOROCCO,183
MOZAMBIQUE,184
MYANMAR,185
NAMIBIA,186
NAURU,187
NEPAL,188
NETHERLAND,189
NETHERLANDS,190
NETHERLANDS ANTILLES,191
NEW ZEALAND,192
NICARAGUA,193
NIGER,194
NIGERIA,195
NORWAY,196
ODINN,197
OMAN,198
PAKISTAN,199
PALAU,200
PANAMA,201
PAPUA NEW GUINEA,202
PARAGUAY,203
PERU,204
PHILIPPINES,205
POLAND,206
PORTUGAL,207
PUERTO RICO,208
QATAR,209
RENTAXEL,210
REPUBLIC OF KOREA,211
REPUBLIC OF THE CONGO,212
REUNION,213
ROMANIA,214
RUSSIA,215
RUSSIAN FEDERATION,216
RUSSIA]],217
RWANDA,218
S,219
SAINT KITTS AND NEVIS,220
SAINT LUCIA,221
SAINT VINCENT AND THE GRENADINES,222
SAMOA,223
SAO TOME AND PRINCIPE,224
SAUDI ARABIA,225
SCHEFF,226
SENEGAL,227
SERBIA,228
SEYCHELLES,229
SIERRA LEONE,230
SINGAPORE,231
SLOVAKIA,232
SLOVENIA,233
SOLOMON ISLANDS,234
SOMALI REPUBLIC,235
SOUTH AFRICA,236
SOUTH KOREA,237
SOUTH SUDAN,238
SPAIN,239
SRI LANKA,240
SUDAN,241
SURINAME,242
SWAZILAND,243
SWEDEN,244
SWISSBIRD,245
SWITZERLAND,246
SYRIA,247
SYRIAN ARAB REPUBLIC,248
TAIWAN,249
TAJIKISTAN,250
TANZANIA,251
THAILAND,252
TOGO,253
TONGA,254
TRINIDAD AND TOBAGO,255
TUNISIA,256
TURKEY,257
TURKMENISTAN,258
TURKS AND CAICOS ISLANDS,259
UGANDA,260
UKRAINE,261
UNIFORM OSCAR,262
UNITED ARAB EMIRATES,263
UNITED KINGDOM,264
UNITED STATES,265
URUGUAY,266
UZBEKISTAN,267
VANUATU,268
VELES,269
VENEZUELA,270
VIETNAM,271
WATCHDOG,272
YEMEN,273
ZAMBIA,274
ZIMBABWE,275
\N,276
